data_publicacao,palavra_analisada,frequencia
1707,padre,31
1707,trociscos,31
1707,anno,30
1707,aquella,30
1707,cascas,30
1707,continua,30
1707,copia,30
1707,criaõ,30
1707,doutor,30
1707,doutrinaes,30
1707,especificos,30
1707,hũa,30
1707,mayormente,30
1707,mes,30
1707,misture,30
1707,noticia,30
1707,pulsos,30
1707,quarenta,30
1707,segredos,30
1707,sinaes,30
1707,utilidade,30
1707,alguem,29
1707,appliquei,29
1707,certamente,29
1707,começou,29
1707,damnos,29
1707,diligencias,29
1707,faltas,29
1707,feita,29
1707,haõ,29
1707,impressaõ,29
1707,juizo,29
1707,laudano,29
1707,malvas,29
1707,panno,29
1707,peripneumonia,29
1707,preparados,29
1707,pudera,29
1707,razões,29
1707,tenhaõ,29
1707,vomitorio,29
1707,ꭍe,29
1707,azeite,28
1707,beneficio,28
1707,canadas,28
1707,cheyo,28
1707,comigo,28
1707,commum,28
1707,confiança,28
1707,continuos,28
1707,daquelle,28
1707,deixa,28
1707,desejos,28
1707,disso,28
1707,duvida,28
1707,filho,28
1707,gema,28
1707,gosto,28
1707,ictericia,28
1707,intestino,28
1707,magreza,28
1707,malicia,28
1707,mesmos,28
1707,observado,28
1707,pedro,28
1707,poucos,28
1707,sal,28
1707,sol,28
1707,tempos,28
1707,vacca,28
1707,violado,28
1707,acompanhada,27
1707,apozemas,27
1707,avendo,27
1707,bons,27
1707,capaz,27
1707,carneiro,27
1707,chamada,27
1707,deite,27
1707,dentes,27
1707,enchimento,27
1707,excessivo,27
1707,fazendo,27
1707,feliz,27
1707,fique,27
1707,frangaõ,27
1707,fruto,27
1707,hydropesias,27
1707,misturados,27
1707,parecia,27
1707,pleurizes,27
1707,pobre,27
1707,pontada,27
1707,poucas,27
1707,referidos,27
1707,rua,27
1707,verdadeiro,27
1707,10,26
1707,achaque,26
1707,ardores,26
1707,caminho,26
1707,capazes,26
1707,carne,26
1707,conseguir,26
1707,costumaõ,26
1707,cozido,26
1707,direita,26
1707,facilmente,26
1707,filhos,26
1707,infallivel,26
1707,movimento,26
1707,ordinaria,26
1707,padecer,26
1707,papoulas,26
1707,perfeita,26
1707,perigos,26
1707,posso,26
1707,santo,26
1707,sentia,26
1707,serem,26
1707,sofrer,26
1707,somno,26
1707,suores,26
1707,tanchagem,26
1707,verde,26
1707,aja,25
1707,ajuntando,25
1707,antonio,25
1707,applicado,25
1707,criança,25
1707,darlhe,25
1707,deitou,25
1707,deu,25
1707,devia,25
1707,então,25
1707,estado,25
1707,estavaõ,25
1707,esterco,25
1707,fel,25
1707,fizesse,25
1707,instante,25
1707,junto,25
1707,livre,25
1707,maria,25
1707,milagre,25
1707,mortaes,25
1707,mão,25
1707,occasiaõ,25
1707,pachio,25
1707,presente,25
1707,principio,25
1707,pudesse,25
1707,rebater,25
1707,serviço,25
1707,tartaro,25
1707,terebinthina,25
1707,totalmente,25
1707,vea,25
1707,arteria,24
1707,arterias,24
1707,barbeiro,24
1707,basta,24
1707,bebida,24
1707,cama,24
1707,carga,24
1707,coandose,24
1707,crianças,24
1707,experimentado,24
1707,faço,24
1707,gemas,24
1707,graves,24
1707,igual,24
1707,juntamente,24
1707,linho,24
1707,lugares,24
1707,macella,24
1707,malignas,24
1707,mandou,24
1707,mel,24
1707,opiado,24
1707,opiniaõ,24
1707,parto,24
1707,preciso,24
1707,pòde,24
1707,rosas,24
1707,temor,24
1707,tirou,24
1707,ventosas,24
1707,acidos,23
1707,aconselhei,23
1707,ambos,23
1707,aspera,23
1707,açafraõ,23
1707,baço,23
1707,cahio,23
1707,canela,23
1707,costas,23
1707,doutos,23
1707,espirito,23
1707,ferro,23
1707,gravissimos,23
1707,intercadencias,23
1707,lingua,23
1707,medicamento,23
1707,misturada,23
1707,numero,23
1707,ourinar,23
1707,passados,23
1707,paõ,23
1707,perfeitissima,23
1707,pernas,23
1707,quinaquina,23
1707,resolvi,23
1707,sabem,23
1707,senaõ,23
1707,trat,23
1707,tremores,23
1707,vim,23
1707,visse,23
1707,ajuntem,22
1707,applicados,22
1707,areas,22
1707,chegou,22
1707,confortar,22
1707,conhecimento,22
1707,curado,22
1707,dado,22
1707,efficacia,22
1707,esperava,22
1707,facil,22
1707,fervido,22
1707,fezes,22
1707,frialdade,22
1707,fórma,22
1707,grandeza,22
1707,iguaes,22
1707,juntas,22
1707,losna,22
1707,necessarias,22
1707,poder,22
1707,preparar,22
1707,quizesse,22
1707,repetidos,22
1707,rey,22
1707,sanguisugas,22
1707,tarde,22
1707,terceiro,22
1707,tiveraõ,22
1707,tomando,22
1707,absorbentes,21
1707,acre,21
1707,author,21
1707,beta,21
1707,chamou,21
1707,chamàraõ,21
1707,colheres,21
1707,colicas,21
1707,crua,21
1707,desejava,21
1707,diante,21
1707,espaço,21
1707,esperar,21
1707,humano,21
1707,interior,21
1707,manhãa,21
1707,melhores,21
1707,morna,21
1707,officio,21
1707,ortelãa,21
1707,prepara,21
1707,rebelde,21
1707,repentinamente,21
1707,seguir,21
1707,tigela,21
1707,vidro,21
1707,voto,21
1707,11,20
1707,acres,20
1707,aguas,20
1707,baixo,20
1707,bichos,20
1707,branca,20
1707,burra,20
1707,cidade,20
1707,comichões,20
1707,conselhos,20
1707,consiste,20
1707,convem,20
1707,crueldade,20
1707,desejo,20
1707,estancar,20
1707,fangrias,20
1707,faria,20
1707,farinha,20
1707,faziaõ,20
1707,felicidade,20
1707,ficando,20
1707,ficar,20
1707,força,20
1707,gente,20
1707,hiera,20
1707,julguei,20
1707,lympha,20
1707,miseravel,20
1707,naturaes,20
1707,necessaria,20
1707,notavel,20
1707,obrigado,20
1707,padecem,20
1707,parecer,20
1707,passar,20
1707,poderaõ,20
1707,poderia,20
1707,podiaõ,20
1707,pombos,20
1707,procedidas,20
1707,pude,20
1707,pó,20
1707,quebradura,20
1707,risco,20
1707,sete,20
1707,sómente,20
1707,terra,20
